Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Ventura_County_Community_College_District.csv,210.00,0.00,224.00,0.00,154.00,0.00,168.00,0.00,112.00,0.00,14.00,56.00,294.00,0.00,49.00,112.00,147.00,0.00
North_Orange_County_Community_College_District.csv,203.00,0.00,154.00,0.00,161.00,0.00,126.00,0.00,77.00,0.00,14.00,56.00,301.00,0.00,119.00,56.00,105.00,0.00
State_Center_Community_College_District.csv,133.00,0.00,154.00,0.00,126.00,0.00,133.00,0.00,77.00,0.00,21.00,56.00,301.00,0.00,77.00,56.00,98.00,0.00
Chabot-Las_Positas_Community_College_District.csv,189.00,0.00,196.00,0.00,126.00,0.00,147.00,0.00,105.00,0.00,14.00,56.00,245.00,0.00,91.00,56.00,133.00,0.00
Sonoma_County_Junior_College_District.csv,154.00,56.00,196.00,56.00,126.00,0.00,105.00,56.00,105.00,0.00,14.00,56.00,203.00,56.00,84.00,56.00,133.00,0.00
Citrus_Community_College_District.csv,70.00,168.00,161.00,56.00,105.00,56.00,147.00,0.00,105.00,0.00,14.00,56.00,189.00,112.00,98.00,56.00,105.00,56.00
Lake_Tahoe_Community_College_District.csv,161.00,56.00,77.00,168.00,77.00,112.00,140.00,56.00,140.00,0.00,14.00,56.00,42.00,280.00,140.00,56.00,175.00,0.00
Sierra_Joint_Community_College_District.csv,182.00,0.00,168.00,0.00,154.00,0.00,126.00,0.00,70.00,0.00,14.00,56.00,252.00,0.00,91.00,56.00,105.00,0.00
Southwestern_Community_College_District.csv,203.00,0.00,147.00,56.00,140.00,0.00,140.00,0.00,105.00,0.00,14.00,56.00,161.00,112.00,35.00,112.00,147.00,0.00
El_Camino_Community_College_District.csv,189.00,0.00,140.00,0.00,133.00,0.00,105.00,0.00,70.00,0.00,14.00,56.00,189.00,56.00,84.00,56.00,98.00,0.00
Yosemite_Community_College_District.csv,147.00,56.00,119.00,112.00,133.00,0.00,210.00,0.00,105.00,0.00,14.00,56.00,210.00,56.00,77.00,56.00,133.00,0.00
Sequoias_Community_College_District.csv,70.00,161.00,217.00,0.00,42.00,105.00,105.00,56.00,105.00,0.00,14.00,56.00,175.00,112.00,77.00,56.00,133.00,0.00
Butte-Glenn_Community_College_District.csv,70.00,168.00,203.00,0.00,91.00,56.00,105.00,56.00,105.00,0.00,14.00,56.00,168.00,112.00,77.00,56.00,133.00,0.00
San_Bernardino_Community_College_District.csv,105.00,112.00,203.00,0.00,133.00,0.00,161.00,0.00,112.00,0.00,14.00,56.00,238.00,0.00,98.00,56.00,140.00,0.00
Foothill-De_Anza_Community_College_District.csv,224.00,0.00,273.00,0.00,154.00,0.00,189.00,0.00,133.00,0.00,14.00,56.00,259.00,0.00,112.00,56.00,168.00,0.00
Copper_Mountain_Community_College_District.csv,105.00,112.00,189.00,0.00,98.00,56.00,105.00,56.00,105.00,0.00,14.00,56.00,203.00,56.00,77.00,56.00,140.00,0.00
Grossmont-Cuyamaca_Community_College_District.csv,210.00,0.00,203.00,0.00,133.00,0.00,161.00,0.00,105.00,0.00,14.00,56.00,217.00,56.00,70.00,56.00,133.00,0.00
Barstow_Community_College_District.csv,203.00,0.00,168.00,56.00,56.00,112.00,42.00,168.00,119.00,0.00,14.00,56.00,42.00,280.00,84.00,56.00,154.00,0.00
Los_Rios_Community_College_District.csv,189.00,0.00,182.00,0.00,126.00,0.00,147.00,0.00,105.00,0.00,14.00,56.00,238.00,0.00,84.00,56.00,133.00,0.00
Mt._San_Jacinto_Community_College_District.csv,196.00,0.00,182.00,0.00,126.00,0.00,147.00,0.00,112.00,0.00,14.00,56.00,238.00,0.00,84.00,56.00,105.00,0.00
Rancho_Santiago_Community_College_District.csv,182.00,49.00,266.00,0.00,98.00,49.00,140.00,0.00,84.00,0.00,14.00,56.00,119.00,168.00,84.00,56.00,119.00,0.00
Palomar_Community_College_District.csv,189.00,0.00,217.00,0.00,126.00,0.00,238.00,0.00,105.00,0.00,112.00,56.00,231.00,0.00,77.00,56.00,133.00,0.00
West_Hills_Community_College_District.csv,70.00,161.00,126.00,112.00,14.00,161.00,105.00,56.00,105.00,0.00,14.00,56.00,42.00,280.00,49.00,112.00,105.00,56.00
Ohlone_Community_College_District.csv,189.00,0.00,175.00,0.00,126.00,0.00,140.00,0.00,105.00,0.00,14.00,56.00,238.00,0.00,84.00,56.00,133.00,0.00
Gavilan_Community_College_District.csv,105.00,112.00,196.00,0.00,182.00,0.00,105.00,56.00,105.00,0.00,14.00,56.00,280.00,56.00,91.00,56.00,140.00,0.00
Hartnell_Community_College_District.csv,126.00,112.00,203.00,0.00,210.00,0.00,105.00,56.00,105.00,0.00,14.00,56.00,126.00,168.00,42.00,112.00,147.00,0.00
Solano_Community_College_District.csv,105.00,112.00,119.00,112.00,140.00,0.00,147.00,0.00,105.00,0.00,14.00,56.00,210.00,0.00,42.00,112.00,140.00,0.00
Yuba_Community_College_District.csv,133.00,112.00,203.00,0.00,147.00,0.00,147.00,0.00,112.00,0.00,14.00,56.00,217.00,56.00,84.00,56.00,119.00,0.00
AVERAGE,157.89,67.28,180.54,36.56,115.69,38.50,130.76,33.44,100.14,6.22,23.14,57.56,191.33,89.44,76.42,71.56,131.06,11.67
