=== 1st Order UC Totals ===
,UCSD Art,UCSB Art,UCSC Art,UCLA Art,UCB Art,UCI Art,UCD Art,UCR Art,UCM Art,UCSD Unart,UCSB Unart,UCSC Unart,UCLA Unart,UCB Unart,UCI Unart,UCD Unart,UCR Unart,UCM Unart
Shasta-Tehama-Trinity_Joint_Community_College_District,105,196,140,140,105,14,245,77,140,0,0,0,0,0,56,0,56,0
Palo_Verde_Community_College_District,42,0,0,42,0,0,0,0,42,0,0,0,0,0,56,0,56,0
San_Luis_Obispo_County_Community_College_District,224,175,161,119,70,14,189,112,98,0,0,0,0,0,56,0,56,0
San_Francisco_Community_College_District,217,217,140,182,105,112,203,91,133,0,0,0,0,0,56,0,56,0
Santa_Clarita_Community_College_District,224,315,175,140,105,70,203,77,175,0,0,0,0,0,56,0,56,0
Long_Beach_Community_College_District,147,189,133,140,70,14,252,70,105,0,0,0,0,0,56,0,56,0
Santa_Barbara_Community_College_District,217,273,126,140,105,14,245,77,133,0,0,0,0,0,56,0,56,0
Coast_Community_College_District,210,203,126,182,91,21,329,70,112,0,0,0,0,0,56,0,56,0
Napa_Valley_Community_College_District,91,196,77,126,105,14,147,63,147,0,0,0,0,0,56,0,56,0
Redwoods_Community_College_District,84,91,28,119,105,14,112,70,119,0,0,0,0,0,56,0,56,0
Mendocino-Lake_Community_College_District,140,161,42,133,105,14,175,91,203,0,0,0,0,0,56,0,56,0
Santa_Monica_Community_College_District,245,189,133,154,105,14,217,98,133,0,0,0,0,0,56,0,56,0
San_Joaquin_Delta_Community_College_District,126,245,147,196,112,14,189,91,154,0,0,0,0,0,56,0,56,0
Feather_River_Community_College_District,21,77,21,21,70,14,21,7,70,0,0,0,0,0,56,0,56,0
Cerritos_Community_College_District,189,161,133,105,70,14,245,84,105,0,0,0,0,0,56,0,56,0
Riverside_Community_College_District,161,182,147,140,105,14,245,70,140,0,0,0,0,0,56,0,56,0
South_Orange_County_Community_College_District,210,196,196,154,105,14,266,112,133,0,0,0,0,0,56,0,56,0
Monterey_Peninsula_Community_College_District,161,210,147,147,105,14,259,91,140,0,0,0,0,0,56,0,56,0
Glendale_Community_College_District,161,189,147,140,105,126,252,84,140,0,0,0,0,0,56,0,56,0
Los_Angeles_Community_College_District,189,182,126,147,105,14,238,84,133,0,0,0,0,0,56,0,56,0
San_Diego_Community_College_District,196,203,154,154,105,14,231,98,147,0,0,0,0,0,56,0,56,0
Chaffey_Community_College_District,105,217,49,196,105,14,210,77,147,0,0,0,0,0,56,0,56,0
Compton_Community_College_District,224,140,63,84,70,14,91,14,84,0,0,0,0,0,56,0,56,0
Peralta_Community_College_District,203,196,140,147,105,14,210,98,147,0,0,0,0,0,56,0,56,0
Antelope_Valley_Community_College_District,273,182,140,133,105,70,196,28,147,0,0,0,0,0,56,0,56,0
Victor_Valley_Community_College_District,91,224,84,126,126,14,154,91,126,0,0,0,0,0,56,0,56,0
Pasadena_Area_Community_College_District,217,238,140,140,105,182,273,91,140,0,0,0,0,0,56,0,56,0
MiraCosta_Community_College_District,196,252,133,154,105,14,252,91,133,0,0,0,0,0,56,0,56,0
Contra_Costa_Community_College_District,336,196,147,161,105,14,273,105,147,0,0,0,0,0,56,0,56,0
Allan_Hancock_Joint_Community_College_District,175,154,126,112,70,14,168,77,98,0,0,0,0,0,56,0,56,0
Ventura_County_Community_College_District,210,224,154,168,112,14,294,105,147,0,0,0,0,0,56,0,56,0
North_Orange_County_Community_College_District,203,154,161,126,77,14,301,119,105,0,0,0,0,0,56,0,56,0
State_Center_Community_College_District,182,210,140,147,133,28,245,84,119,0,0,0,0,0,56,0,56,0
Chabot-Las_Positas_Community_College_District,189,196,126,147,105,14,245,91,133,0,0,0,0,0,56,0,56,0
Sonoma_County_Junior_College_District,140,231,126,140,105,14,245,84,133,0,0,0,0,0,56,0,56,0
Citrus_Community_College_District,98,189,133,147,105,14,217,98,133,0,0,0,0,0,56,0,56,0
Lake_Tahoe_Community_College_District,189,105,105,168,140,14,70,140,175,0,0,0,0,0,56,0,56,0
Sierra_Joint_Community_College_District,203,168,154,126,70,14,259,98,112,0,0,0,0,0,56,0,56,0
Southwestern_Community_College_District,182,182,140,140,105,14,196,70,147,0,0,0,0,0,56,0,56,0
El_Camino_Community_College_District,182,140,133,105,70,14,238,84,98,0,0,0,0,0,56,0,56,0
Sequoias_Community_College_District,105,217,77,140,105,14,210,77,133,0,0,0,0,0,56,0,56,0
Butte-Glenn_Community_College_District,105,203,126,140,105,14,203,77,133,0,0,0,0,0,56,0,56,0
San_Bernardino_Community_College_District,161,203,133,161,112,14,238,98,140,0,0,0,0,0,56,0,56,0
Foothill-De_Anza_Community_College_District,224,273,154,189,133,14,259,112,168,0,0,0,0,0,56,0,56,0
Copper_Mountain_Community_College_District,140,189,133,140,105,14,238,77,140,0,0,0,0,0,56,0,56,0
Grossmont-Cuyamaca_Community_College_District,217,210,133,161,105,14,266,77,133,0,0,0,0,0,56,0,56,0
Barstow_Community_College_District,182,196,84,70,119,14,70,91,154,0,0,0,0,0,56,0,56,0
Los_Rios_Community_College_District,189,182,126,147,105,14,238,84,133,0,0,0,0,0,56,0,56,0
Mt._San_Jacinto_Community_College_District,196,182,126,147,112,14,238,84,105,0,0,0,0,0,56,0,56,0
Rancho_Santiago_Community_College_District,126,266,91,140,84,182,168,84,119,0,0,0,0,0,56,0,56,0
Palomar_Community_College_District,189,217,126,238,105,112,231,77,133,0,0,0,0,0,56,0,56,0
West_Hills_Community_College_District,84,140,28,119,105,14,56,63,119,0,0,0,0,0,56,0,56,0
Gavilan_Community_College_District,147,196,182,147,105,14,322,91,140,0,0,0,0,0,56,0,56,0
Hartnell_Community_College_District,161,203,210,140,105,14,161,77,147,0,0,0,0,0,56,0,56,0
Solano_Community_College_District,147,161,140,147,105,14,210,84,140,0,0,0,0,0,56,0,56,0
Yuba_Community_College_District,126,203,147,147,112,14,266,84,119,0,0,0,0,0,56,0,56,0

=== 3rd Order UC Totals ===
,UCSD Art,UCSB Art,UCSC Art,UCLA Art,UCB Art,UCI Art,UCD Art,UCR Art,UCM Art,UCSD Unart,UCSB Unart,UCSC Unart,UCLA Unart,UCB Unart,UCI Unart,UCD Unart,UCR Unart,UCM Unart
Merced_Community_College_District,108,142,92,82,62,0,180,62,88,0,0,0,0,0,56,0,56,0
Marin_Community_College_District,112,94,74,86,44,0,172,72,56,0,0,0,0,0,56,0,56,0
Siskiyou_Joint_Community_College_District,36,100,74,56,44,0,128,62,64,0,0,0,0,0,56,0,56,0
Imperial_Community_College_District,114,80,48,50,44,0,116,62,86,0,0,0,0,0,56,0,56,0
Kern_Community_College_District,48,142,174,60,48,4,134,68,60,0,0,0,0,0,56,0,56,0
Lassen_Community_College_District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0
Cabrillo_Community_College_District,120,92,118,64,44,0,156,62,64,0,0,0,0,0,56,0,56,0
San_Mateo_County_Community_College_District,192,112,102,64,44,0,202,62,74,0,0,0,0,0,56,0,56,0
West_Kern_Community_College_District,18,192,6,38,62,0,48,36,68,0,0,0,0,0,56,0,56,0
Desert_Community_College_District,74,114,82,74,44,0,124,98,64,0,0,0,0,0,56,0,56,0
San_Jose-Evergreen_Community_College_District,156,190,132,140,84,40,254,86,140,0,0,0,0,0,56,0,56,0
Shasta-Tehama-Trinity_Joint_Community_College_District,44,112,92,64,44,0,154,50,64,0,0,0,0,0,56,0,56,0
Palo_Verde_Community_College_District,30,0,0,30,0,0,0,0,30,0,0,0,0,0,56,0,56,0
San_Luis_Obispo_County_Community_College_District,132,116,94,66,24,0,106,74,36,0,0,0,0,0,56,0,56,0
San_Francisco_Community_College_District,134,128,78,108,58,112,110,76,70,0,0,0,0,0,56,0,56,0
Santa_Clarita_Community_College_District,126,198,116,64,44,56,124,50,84,0,0,0,0,0,56,0,56,0
Long_Beach_Community_College_District,74,102,80,64,24,0,168,40,44,0,0,0,0,0,56,0,56,0
Santa_Barbara_Community_College_District,118,170,74,64,44,0,158,50,56,0,0,0,0,0,56,0,56,0
Coast_Community_College_District,134,120,70,114,42,2,278,48,48,0,0,0,0,0,56,0,56,0
Napa_Valley_Community_College_District,30,124,36,50,44,0,78,36,74,0,0,0,0,0,56,0,56,0
Redwoods_Community_College_District,26,34,2,46,44,0,70,58,46,0,0,0,0,0,56,0,56,0
Mendocino-Lake_Community_College_District,66,100,12,56,44,0,122,72,130,0,0,0,0,0,56,0,56,0
Santa_Monica_Community_College_District,168,106,88,86,44,0,156,84,56,0,0,0,0,0,56,0,56,0
San_Joaquin_Delta_Community_College_District,74,154,102,114,52,0,134,76,82,0,0,0,0,0,56,0,56,0
Feather_River_Community_College_District,0,56,0,0,42,0,0,0,42,0,0,0,0,0,56,0,56,0
Cerritos_Community_College_District,106,94,82,44,24,0,156,62,44,0,0,0,0,0,56,0,56,0
Riverside_Community_College_District,100,92,104,64,44,0,156,40,64,0,0,0,0,0,56,0,56,0
South_Orange_County_Community_College_District,148,116,154,86,44,0,194,112,56,0,0,0,0,0,56,0,56,0
