Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Mt._San_Jacinto_Community_College_District.csv,2.14,0.00,1.64,0.00,1.32,0.00,1.29,0.00,0.93,0.00,0.00,1.00,2.64,0.00,1.11,1.00,0.79,0.00
Rancho_Santiago_Community_College_District.csv,2.21,0.75,4.11,0.00,1.11,0.75,1.71,0.00,0.71,0.00,0.00,1.00,1.75,3.00,1.11,1.00,1.07,0.00
Palomar_Community_College_District.csv,2.00,0.00,2.04,0.00,1.32,0.00,2.64,0.00,0.79,0.00,1.50,1.00,2.43,0.00,0.89,1.00,1.00,0.00
West_Hills_Community_College_District.csv,0.43,2.75,1.32,2.00,0.00,2.75,0.79,1.00,0.79,0.00,0.00,1.00,0.21,5.00,0.75,2.00,0.79,1.00
Ohlone_Community_College_District.csv,2.00,0.00,1.50,0.00,1.32,0.00,1.14,0.00,0.79,0.00,0.00,1.00,2.64,0.00,1.11,1.00,1.00,0.00
Gavilan_Community_College_District.csv,0.79,2.00,2.04,0.00,2.21,0.00,0.79,1.00,0.79,0.00,0.00,1.00,3.82,1.00,1.36,1.00,1.14,0.00
Hartnell_Community_College_District.csv,1.43,2.00,2.18,0.00,3.07,0.00,0.79,1.00,0.79,0.00,0.00,1.00,1.29,3.00,0.54,2.00,1.32,0.00
Solano_Community_College_District.csv,0.79,2.00,1.11,2.00,1.64,0.00,1.32,0.00,0.79,0.00,0.00,1.00,2.39,0.00,0.54,2.00,1.14,0.00
Yuba_Community_College_District.csv,1.57,2.00,2.14,0.00,1.82,0.00,1.29,0.00,0.93,0.00,0.00,1.00,2.61,1.00,1.11,1.00,1.11,0.00
AVERAGE,1.69,1.18,1.96,0.65,1.35,0.67,1.20,0.60,0.78,0.11,0.16,1.03,2.29,1.60,1.06,1.28,1.12,0.21
