UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Merced,Irvine Valley College,MATH 023,MATH 4A,,,
University of California Merced,Irvine Valley College,MATH 024,MATH 24; MATH 26,MATH 24H; MATH 26,,
University of California Merced,Irvine Valley College,PHYS 008; PHYS 008L,PHYS 4A,,,
University of California Merced,Irvine Valley College,PHYS 009; PHYS 009L,PHYS 4B,,,
University of California Merced,Irvine Valley College,CSE 015,MATH 6A,,,
University of California Merced,Irvine Valley College,CSE 022,CS 10,CS 36,,
University of California Merced,Irvine Valley College,CSE 024,Not Articulated,,,
University of California Merced,Irvine Valley College,CSE 030,CS 41,,,
University of California Merced,Irvine Valley College,CSE 031,CS 40A; CS 40B,,,
University of California Merced,Irvine Valley College,ENGR 065,Not Articulated,,,
University of California Merced,Irvine Valley College,ENGR 091,Not Articulated,,,
University of California Merced,Irvine Valley College,MATH 032,Not Articulated,,,
University of California Merced,Irvine Valley College,ENGR 080,Not Articulated,,,
University of California Merced,Irvine Valley College,WRI 001,WR 1,WR 1H,,
University of California Merced,Irvine Valley College,WRI 010,WR 2,WR 2H,,
University of California Riverside,Irvine Valley College,CS 10A,CS 10,CS 36,CS 37,
University of California Riverside,Irvine Valley College,CS 10B,CS 38,CS 41,,
University of California Riverside,Irvine Valley College,MATH 9A; MATH 9B; MATH 9C,MATH 3A; MATH 3B,,,
University of California Riverside,Irvine Valley College,PHYS 40A,PHYS 4A,,,
University of California Riverside,Irvine Valley College,CS 11,CS 6A; CS 6B,MATH 6A; MATH 31,,
University of California Riverside,Irvine Valley College,CS 10C,Not Articulated,,,
University of California Riverside,Irvine Valley College,CS 61,CS 40A,CS 40B,,
University of California Riverside,Irvine Valley College,MATH 10A,MATH 4A,,,
University of California Riverside,Irvine Valley College,PHYS 40B,PHYS 4A; PHYS 4C,,,
University of California Riverside,Irvine Valley College,PHYS 40C,PHYS 4B,,,
University of California Riverside,Irvine Valley College,EE 20B,Not Articulated,,,
University of California Riverside,Irvine Valley College,MATH 31,MATH 26,,,
University of California San Diego,Irvine Valley College,CSE 8A,Not Articulated,,,
University of California San Diego,Irvine Valley College,CSE 8B,Not Articulated,,,
University of California San Diego,Irvine Valley College,CSE 11,CS 38,,,
University of California San Diego,Irvine Valley College,CSE 12,CS 41,,,
University of California San Diego,Irvine Valley College,CSE 15L,Not Articulated,,,
University of California San Diego,Irvine Valley College,CSE 20,MATH 6A,,,
University of California San Diego,Irvine Valley College,CSE 21,MATH 31,,,
University of California San Diego,Irvine Valley College,CSE 30,CS 40A; CS 40B,,,
University of California San Diego,Irvine Valley College,MATH 18,MATH 26,,,
University of California San Diego,Irvine Valley College,MATH 20A,MATH 3A,MATH 3AH,,
University of California San Diego,Irvine Valley College,MATH 20B,MATH 3B,MATH 3BH,,
University of California San Diego,Irvine Valley College,MATH 20C,MATH 4A,,,
University of California San Diego,Irvine Valley College,BILD 1,BIO 2; BIO 5; BIO 16,BIO 80; BIO 81,BIO 80H; BIO 81H,
