UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Santa Barbara,Butte College,A,A,1,CMPSC 40 - Foundations of Computer Science,CSCI 22 - Discrete Structures,,,
University of California Santa Barbara,Butte College,A,A,1,CMPSC 32 - Object Oriented Design and Implementation,Not Articulated,,,
University of California Santa Barbara,Butte College,A,A,1,CMPSC 64 - Computer Organization and Logic Design,CSCI 10 - Computer Architecture and Organization,,,
University of California Santa Barbara,Butte College,A,A,1,"MATH 6A - Vector Calculus with Applications, First Course",MATH 32 - Analytic Geometry and Calculus III,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 1 - Basic Physics,PHYS 41 - Physics for Scientists and Engineers I,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 2 - Basic Physics,PHYS 42 - Physics for Scientists and Engineers II & PHYS 43 - Physics for Scientists and Engineers III,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 3 - Basic Physics & PHYS 3L - Physics Laboratory,PHYS 42 - Physics for Scientists and Engineers II & PHYS 43 - Physics for Scientists and Engineers III,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 6A - Introductory Physics & PHYS 6AL - Introductory Experimental Physics & PHYS 6B - Introductory Physics & PHYS 6BL - Introductory Experimental Physics & PHYS 6C - Introductory Physics & PHYS 6CL - Introductory Experimental Physics,PHYS 21 - College Physics I & PHYS 22 - College Physics II,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 7A - Basic Physics,PHYS 41 - Physics for Scientists and Engineers I,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 7B - Basic Physics,PHYS 41 - Physics for Scientists and Engineers I & PHYS 42 - Physics for Scientists and Engineers II,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 7C - Basic Physics,PHYS 42 - Physics for Scientists and Engineers II,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 7D - Basic Physics,PHYS 43 - Physics for Scientists and Engineers III,,,
University of California Santa Barbara,Butte College,A,A,1,PHYS 7L - Physics Laboratory,PHYS 42 - Physics for Scientists and Engineers II,,,
University of California Santa Barbara,Butte College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory & CHEM 1B - General Chemistry & CHEM 1BL - General Chemistry Laboratory & CHEM 1C - General Chemistry & CHEM 1CL - General Chemistry Laboratory,CHEM 1 - General Chemistry I & CHEM 2 - General Chemistry II,,,
University of California Santa Barbara,Butte College,A,A,1,MCDB 1A - Introductory Biology I & MCDB 1LL - Introductory Biology Laboratory I,BIOL 41 - Cell and Molecular Biology & BIOL 42 - Organismal Biology & BIOL 43 - Ecology and Evolution,,,
University of California Santa Barbara,Butte College,A,A,1,MCDB 1B - Introductory Biology II - Physiology,BIOL 41 - Cell and Molecular Biology & BIOL 42 - Organismal Biology & BIOL 43 - Ecology and Evolution,,,
University of California Santa Barbara,Butte College,A,A,1,PSTAT 120A - Probability and Statistics,Not Articulated,,,
University of California Santa Cruz,Butte College,A,A,1,CSE 12 - Computer Systems and Assembly Language and Lab,CSCI 10 - Computer Architecture and Organization,,,
University of California Santa Cruz,Butte College,A,A,1,CSE 16 - APPLIED DISCRETE MATHEMATICS,Not Articulated,,,
University of California Santa Cruz,Butte College,A,A,1,CSE 30 - Programming Abstractions: Python,CSCI 21 - Programming and Algorithms II,,,
University of California Santa Cruz,Butte College,A,A,1,"MATH 19A - Calculus for Science, Engineering, and Mathematics",MATH 30 - Analytic Geometry and Calculus I,,,
University of California Santa Cruz,Butte College,A,A,1,"MATH 19B - Calculus for Science, Engineering, and Mathematics",MATH 31 - Analytic Geometry and Calculus II,,,
University of California Santa Cruz,Butte College,A,A,1,AM 10 - Mathematical Methods for Engineers I,MATH 42 - Linear Algebra,,,
University of California Santa Cruz,Butte College,A,A,1,MATH 21 - Linear Algebra,MATH 42 - Linear Algebra,,,
University of California Santa Cruz,Butte College,A,A,1,AM 30 - Multivariate Calculus for Engineers,MATH 32 - Analytic Geometry and Calculus III,,,
University of California Santa Cruz,Butte College,A,A,1,MATH 23A - Vector Calculus,MATH 32 - Analytic Geometry and Calculus III,,,
