UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
University of California Los Angeles,De Anza College,A,A,1,"ENGCOMP 3 - English Composition, Rhetoric, and Language",EWRT 1A - Composition and Reading,EWRT 1AH - Composition and Reading - HONORS,,,,,,
University of California Los Angeles,De Anza College,A,A,1,,COMM 9 - Argumentation: Analysis of Oral and Written Communication,"EWRT 1B - Reading, Writing and Research","EWRT 1BH - Reading, Writing and Research - HONORS",EWRT 1C - Literature and Composition,"EWRT 2 - Critical Reading, Writing and Thinking",PHIL 3 - Critical Thinking and Writing,,
University of California Los Angeles,De Anza College,A,A,1,,CIS 27 - Programming in C++ for C/Java Programmers,CIS 29 - Advanced C++ Programming,CIS 22A - Beginning Programming Methodologies in C++,CIS 22B - Intermediate Programming Methodologies in C++,CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,,,
University of California Merced,De Anza College,A,A,1,CSE 022 - Introduction to Programming,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22B - Intermediate Programming Methodologies in C++,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 36A - Introduction to Computer Programming Using Java & CIS 36B - Intermediate Problem Solving in Java,CIS 26A - C as a Second Programming Language,CIS 27 - Programming in C++ for C/Java Programmers,CIS 41A - Python Programming,,
University of California Merced,De Anza College,A,A,1,CSE 030 - Data Structures,CIS 22C - Data Abstraction and Structures,,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 021 - Calculus I for Physical Sciences & Engineering,MATH 1A - Calculus I & MATH 1B - Calculus II,MATH 1AH - Calculus I - HONORS & MATH 1BH - Calculus II - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 022 - Calculus II for Physical Sciences & Engineering,MATH 1B - Calculus II & MATH 1C - Calculus III,MATH 1BH - Calculus II - HONORS & MATH 1CH - Calculus III - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 023 - Vector Calculus,MATH 1C - Calculus III & MATH 1D - Calculus IV,MATH 1CH - Calculus III - HONORS & MATH 1DH - Calculus IV - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 024 - Linear Algebra and Differential Equations,MATH 2A - Differential Equations & MATH 2B - Linear Algebra,,,,,,,
University of California Merced,De Anza College,A,A,1,PHYS 008 - Introductory Physics I for Physical Sciences & PHYS 008L - Introductory Physics I for Physical Sciences Lab,PHYS 4A - Physics for Scientists and Engineers: Mechanics,,,,,,,
University of California Merced,De Anza College,A,A,1,PHYS 009 - Introductory Physics II for Physical Sciences & PHYS 009L - Introductory Physics II for Physical Sciences Lab,"PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism & PHYS 4C - Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics",,,,,,,
University of California Merced,De Anza College,A,A,1,CSE 015 - Discrete Mathematics,MATH 22 - Discrete Mathematics,MATH 22H - Discrete Mathematics - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,CSE 022 - Introduction to Programming,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22B - Intermediate Programming Methodologies in C++,CIS 22A - Beginning Programming Methodologies in C++ & CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 36A - Introduction to Computer Programming Using Java & CIS 36B - Intermediate Problem Solving in Java,CIS 26A - C as a Second Programming Language,CIS 27 - Programming in C++ for C/Java Programmers,CIS 41A - Python Programming,,
University of California Merced,De Anza College,A,A,1,CSE 024 - Advanced Programming,CIS 26B - Advanced C Programming,CIS 26BH - Advanced C Programming - HONORS,,,,,,
University of California Merced,De Anza College,A,A,1,CSE 030 - Data Structures,CIS 22C - Data Abstraction and Structures,,,,,,,
University of California Merced,De Anza College,A,A,1,CSE 031 - Computer Organization and Assembly Language,Not Articulated,,,,,,,
University of California Merced,De Anza College,A,A,1,ENGR 065 - Circuit Theory,Not Articulated,,,,,,,
University of California Merced,De Anza College,A,A,1,ENGR 091 - Professional Development: People in an Engineering World,Not Articulated,,,,,,,
University of California Merced,De Anza College,A,A,1,MATH 032 - Probability and Statistics,MATH 23 - Engineering Statistics,,,,,,,
University of California Merced,De Anza College,A,A,1,ENGR 080 - Statistical Modeling and Data Analysis for Engineers,Not Articulated,,,,,,,
University of California Merced,De Anza College,A,A,1,WRI 001 - Academic Writing,ESL 5 - Advanced Composition and Reading,EWRT 1A - Composition and Reading,EWRT 1AH - Composition and Reading - HONORS,,,,,
University of California Merced,De Anza College,A,A,1,WRI 010 - College Reading and Composition,COMM 9 - Argumentation: Analysis of Oral and Written Communication,COMM 9H - Argumentation: Analysis of Oral and Written Communication - HONORS,"EWRT 1B - Reading, Writing and Research",EWRT 1C - Literature and Composition,"EWRT 2 - Critical Reading, Writing and Thinking","EWRT 2H - Critical Reading, Writing and Thinking - HONORS",PHIL 3 - Critical Thinking and Writing,
University of California Riverside,De Anza College,A,A,1,"CS 10A - Intro to Computer Science for Science, Mathematics, and Engineering I",CIS 36A - Introduction to Computer Programming Using Java & CIS 36B - Intermediate Problem Solving in Java,CIS 22A - Beginning Programming Methodologies in C++,CIS 26A - C as a Second Programming Language,CIS 26B - Advanced C Programming,,,,
University of California Riverside,De Anza College,A,A,1,"CS 10B - Intro to Computer Science for Science, Mathematics, and Engineering II",CIS 36A - Introduction to Computer Programming Using Java & CIS 36B - Intermediate Problem Solving in Java,CIS 22B - Intermediate Programming Methodologies in C++,CIS 27 - Programming in C++ for C/Java Programmers,CIS 28 - Object Oriented Analysis and Design,CIS 29 - Advanced C++ Programming,,,
University of California Riverside,De Anza College,A,A,1,MATH 9A - First-Year Calculus & MATH 9B - First-Year Calculus & MATH 9C - First-Year Calculus,MATH 1A - Calculus I & MATH 1B - Calculus II & MATH 1C - Calculus III,,,,,,,
University of California Riverside,De Anza College,A,A,1,PHYS 40A - General Physics,PHYS 4A - Physics for Scientists and Engineers: Mechanics,,,,,,,
University of California Riverside,De Anza College,A,A,1,CS 11 - Intro to Discrete Structures,MATH 22 - Discrete Mathematics,,,,,,,
University of California Riverside,De Anza College,A,A,1,CS 10C - Intro to Data Structures and Algorithms,CIS 22C - Data Abstraction and Structures,,,,,,,
University of California Riverside,De Anza College,A,A,1,CS 61 - Machine Organization and Assembly Language Programming,CIS 21JA - Introduction to x86 Processor Assembly Language and Computer Architecture & CIS 21JB - Advanced x86 Processor Assembly Programming,,,,,,,
University of California Riverside,De Anza College,A,A,1,MATH 10A - Calculus of Several Variables,MATH 1C - Calculus III,,,,,,,
University of California Riverside,De Anza College,A,A,1,PHYS 40B - General Physics,"PHYS 4C - Physics for Scientists and Engineers: Fluids, Waves, Optics and Thermodynamics",,,,,,,
University of California Riverside,De Anza College,A,A,1,PHYS 40C - General Physics,PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism,,,,,,,
University of California Riverside,De Anza College,A,A,1,EE 20B - Linear Methods for Engineering Analysis and Design Using MATLAB,Not Articulated,,,,,,,
University of California Riverside,De Anza College,A,A,1,MATH 31 - Applied Linear Algebra,MATH 2B - Linear Algebra,,,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 8A - Introduction to Programming and Computational Problem Solving I,CIS 22A - Beginning Programming Methodologies in C++,CIS 36A - Introduction to Computer Programming Using Java,CIS 40 - Introduction to Programming in Python,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 8B - Introduction to Programming and Computational Problem Solving II,CIS 36B - Intermediate Problem Solving in Java,,,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace,CIS 36A - Introduction to Computer Programming Using Java & CIS 36B - Intermediate Problem Solving in Java,CIS 35A - Java Programming,,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 12 - Basic Data Structures and Object-Oriented Design,CIS 22C - Data Abstraction and Structures,CIS 22CH - Data Abstraction and Structures - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 15L - Software Tools and Techniques Laboratory,Not Articulated,,,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 20 - Discrete Mathematics,MATH 22 - Discrete Mathematics,MATH 22H - Discrete Mathematics - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 21 - Mathematics for Algorithms and Systems,Not Articulated,,,,,,,
University of California San Diego,De Anza College,A,A,1,CSE 30 - Computer Organization and Systems Programming,CIS 21JA - Introduction to x86 Processor Assembly Language and Computer Architecture & CIS 21JB - Advanced x86 Processor Assembly Programming & CIS 26B - Advanced C Programming,CIS 21JA - Introduction to x86 Processor Assembly Language and Computer Architecture & CIS 21JB - Advanced x86 Processor Assembly Programming & CIS 26BH - Advanced C Programming - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,MATH 18 - Linear Algebra,MATH 2B - Linear Algebra,MATH 2BH - Linear Algebra - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,MATH 20A - Calculus for Science and Engineering,MATH 1A - Calculus I,MATH 1AH - Calculus I - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,MATH 20B - Calculus for Science and Engineering,MATH 1B - Calculus II,MATH 1BH - Calculus II - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,MATH 20C - Calculus and Analytic Geometry for Science and Engineering,MATH 1C - Calculus III & MATH 1D - Calculus IV,MATH 1CH - Calculus III - HONORS & MATH 1DH - Calculus IV - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,BILD 1 - The Cell,BIOL 6A - Form and Function in the Biological World & BIOL 6B - Cell and Molecular Biology & BIOL 6C - Ecology and Evolution,BIOL 6AH - Form and Function in the Biological World - HONORS & BIOL 6B - Cell and Molecular Biology & BIOL 6CH - Ecology and Evolution - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,BILD 2 - Multicellular Life,BIOL 6A - Form and Function in the Biological World & BIOL 6B - Cell and Molecular Biology & BIOL 6C - Ecology and Evolution,BIOL 6AH - Form and Function in the Biological World - HONORS & BIOL 6B - Cell and Molecular Biology & BIOL 6CH - Ecology and Evolution - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,BILD 3 - Organismic and Evolutionary Biology,BIOL 6A - Form and Function in the Biological World & BIOL 6B - Cell and Molecular Biology & BIOL 6C - Ecology and Evolution,BIOL 6AH - Form and Function in the Biological World - HONORS & BIOL 6B - Cell and Molecular Biology & BIOL 6CH - Ecology and Evolution - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,CHEM 6A - General Chemistry I,CHEM 1A - General Chemistry I,CHEM 1AH - General Chemistry I - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,CHEM 6B - General Chemistry II,CHEM 1B - General Chemistry II,CHEM 1BH - General Chemistry II - HONORS,,,,,,
University of California San Diego,De Anza College,A,A,1,PHYS 2A - Physics - Mechanics,PHYS 4A - Physics for Scientists and Engineers: Mechanics,,,,,,,
University of California San Diego,De Anza College,A,A,1,PHYS 2B - Physics - Electricity and Magnetism,PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism,,,,,,,
University of California San Diego,De Anza College,A,A,1,PHYS 4A - Physics for Physics Majors—Mechanics,Not Articulated,,,,,,,
University of California San Diego,De Anza College,A,A,1,"PHYS 4B - Physics for Physics Majors—Fluids, Waves, Statistical and Thermal Physics",Not Articulated,,,,,,,
University of California Santa Barbara,De Anza College,A,A,1,"MATH 3A - Calculus with Applications, First Course",MATH 1A - Calculus I,MATH 1AH - Calculus I - HONORS,,,,,,
University of California Santa Barbara,De Anza College,A,A,1,"MATH 3B - Calculus with Applications, Second Course",MATH 1B - Calculus II & MATH 1BH - Calculus II - HONORS,MATH 1C - Calculus III & MATH 1CH - Calculus III - HONORS,,,,,,
University of California Santa Barbara,De Anza College,A,A,1,MATH 4A - Linear Algebra with Applications,MATH 2B - Linear Algebra,MATH 2BH - Linear Algebra - HONORS,,,,,,
University of California Santa Barbara,De Anza College,A,A,1,MATH 4B - Differential Equations,MATH 2A - Differential Equations,MATH 2AH - Differential Equations - HONORS,,,,,,
University of California Santa Barbara,De Anza College,A,A,1,CMPSC 16 - Problem Solving with Computers I,CIS 22B - Intermediate Programming Methodologies in C++,CIS 22BH - Intermediate Programming Methodologies in C++ - HONORS,CIS 26A - C as a Second Programming Language,CIS 26B - Advanced C Programming,CIS 26BH - Advanced C Programming - HONORS,,,
University of California Santa Barbara,De Anza College,A,A,1,CMPSC 24 - Problem Solving with Computers II,CIS 22C - Data Abstraction and Structures & CIS 29 - Advanced C++ Programming,CIS 22CH - Data Abstraction and Structures - HONORS & CIS 29 - Advanced C++ Programming,,,,,,
University of California Santa Barbara,De Anza College,A,A,1,CMPSC 40 - Foundations of Computer Science,MATH 22 - Discrete Mathematics,MATH 22H - Discrete Mathematics - HONORS,,,,,,
University of California Santa Barbara,De Anza College,A,A,1,CMPSC 32 - Object Oriented Design and Implementation,Not Articulated,,,,,,,
